Id,SalePrice
1461,110682.11239916719
1462,162466.3275814667
1463,172677.1563910125
1464,197545.8135788763
1465,187287.59528945197
1466,168542.00367613503
1467,187906.09354210694
1468,159299.28218413866
1469,197960.059990933
1470,116266.86376191453
1471,182457.80718961934
1472,93884.5257697219
1473,89650.79075781809
1474,153118.6353062981
1475,116539.91512988578
1476,345934.32744078967
1477,240519.16965721874
1478,287281.2753939239
1479,275035.9847675912
1480,427082.9032348129
1481,307613.4236476213
1482,203927.93509072883
1483,178900.1804663393
1484,158620.30933685935
1485,188256.66523892176
1486,197401.29191320098
1487,323263.4388658177
1488,237244.43404500326
1489,200192.6047673937
1490,241068.27340031715
1491,192449.6961411001
1492,90984.75377231183
1493,190010.11840073013
1494,286481.5650642688
1495,292784.847735899
1496,230746.24933660618
1497,190407.8612224788
1498,159716.8056874011
1499,164764.3651473787
1500,155211.74182636198
1501,173703.18657682696
1502,146925.12747839582
1503,293962.9225586777
1504,257617.60245495953
1505,236605.2859521735
1506,195169.83528779497
1507,250758.2337209273
1508,194015.33364978692
1509,162868.51376824573
1510,141495.22816267173
1511,146084.16601125285
1512,184512.6799806385
1513,149896.44260643065
1514,146896.2212199646
1515,203835.85144694496
1516,167041.3193432202
1517,179183.5725559943
1518,132843.3356177666
1519,212633.63246230542
1520,124899.7945537359
1521,125497.28137843614
1522,184582.26420966643
1523,107615.8597745072
1524,132217.75623315008
1525,122164.96746007417
1526,112101.8338102544
1527,102335.43994866712
1528,153191.6366554637
1529,134126.63560414995
1530,216968.31118359175
1531,100731.67529854945
1532,101991.17284447819
1533,148971.37433073955
1534,128194.99702015797
1535,154688.199037215
1536,113028.59823744351
1537,60008.79084777908
1538,160545.56764426088
1539,191888.4272698712
1540,95696.06712327004
1541,135664.60607428927
1542,112854.913483035
1543,183533.9203101934
1544,91922.30029498464
1545,113014.30443453618
1546,126063.30077155653
1547,134311.75451570292
1548,133378.54059952602
1549,108414.43386144494
1550,119520.36366518783
1551,116382.84214950001
1552,127688.29569256773
1553,140982.7488037384
1554,114377.13805551981
1555,156403.5114208666
1556,90608.19062292189
1557,111085.7607221899
1558,99342.4192526869
1559,89032.79377547496
1560,121035.99345356692
1561,112296.97875798875
1562,127159.50121455303
1563,114946.56732192475
1564,164275.05609873988
1565,143571.73827775175
1566,245850.91982932147
1567,82287.24617467256
1568,218499.97526997904
1569,117759.28640703343
1570,147157.67908697517
1571,125032.47211664589
1572,144405.72237273218
1573,249853.93002124553
1574,120974.12343309761
1575,235004.16650171764
1576,254069.08973220954
1577,174882.89513025185
1578,139748.3443134569
